2018-09-27 20:55:26,150 [DEBUG] org.apache.http.headers  - http-outgoing-3 << connection: close
2018-09-27 20:55:26,150 [DEBUG] org.apache.http.headers  - http-outgoing-3 << content-length: 100
2018-09-27 20:55:26,150 [DEBUG] org.apache.http.headers  - http-outgoing-3 << server: httpd.js
2018-09-27 20:55:26,150 [DEBUG] org.apache.http.headers  - http-outgoing-3 << date: Fri, 28 Sep 2018 01:55:26 GMT
2018-09-27 20:55:26,151 [DEBUG] org.apache.http.wire  - http-outgoing-3 << "{"name":"deleteAllCookies","sessionId":"ed084045-96ff-4b6f-96df-d71fb6b6e094","status":0,"value":""}"
2018-09-27 20:55:26,151 [DEBUG] org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-3: Shutdown connection
2018-09-27 20:55:26,151 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Connection discarded
2018-09-27 20:55:26,151 [DEBUG] org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-3: Close connection
2018-09-27 20:55:26,151 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection released: [id: 3][route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
2018-09-27 20:55:26,160 [DEBUG] org.apache.http.client.protocol.RequestAddCookies  - CookieSpec selected: best-match
2018-09-27 20:55:26,160 [DEBUG] org.apache.http.client.protocol.RequestAuthCache  - Auth cache not set in the context
2018-09-27 20:55:26,160 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection request: [route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
2018-09-27 20:55:26,161 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection leased: [id: 4][route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
2018-09-27 20:55:26,161 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Opening connection {}->http://127.0.0.1:7055
2018-09-27 20:55:26,161 [DEBUG] org.apache.http.impl.conn.HttpClientConnectionOperator  - Connecting to /127.0.0.1:7055
2018-09-27 20:55:26,161 [DEBUG] org.apache.http.impl.conn.HttpClientConnectionOperator  - Connection established 127.0.0.1:52269<->127.0.0.1:7055
2018-09-27 20:55:26,162 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Executing request POST /hub/session/ed084045-96ff-4b6f-96df-d71fb6b6e094/url HTTP/1.1
2018-09-27 20:55:26,162 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Target auth state: UNCHALLENGED
2018-09-27 20:55:26,162 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Proxy auth state: UNCHALLENGED
2018-09-27 20:55:26,162 [DEBUG] org.apache.http.headers  - http-outgoing-4 >> POST /hub/session/ed084045-96ff-4b6f-96df-d71fb6b6e094/url HTTP/1.1
2018-09-27 20:55:26,162 [DEBUG] org.apache.http.headers  - http-outgoing-4 >> Content-Type: application/json; charset=utf-8
